text,tactic
"windows management instrumentation adversaries may abuse windows management instrumentation wmi to execute malicious commands and payloads wmi is designed for programmers and is the infrastructure for management data and operations on windows systems citation: wmi 1 3 wmi is an administration feature that provides a uniform environment to access windows system components the wmi service enables both local and remote access, windows",execution
"exploitation for defense impairment adversaries may exploit vulnerabilities in security software, infrastructure, or defensive components to degrade, disable, or otherwise continue to impair their ability to prevent, detect, or respond to malicious activity adversaries may exploit a system or application vulnerability to directly interfere with defensive mechanisms exploitation occurs when an adversary takes advantage of a prog iaas linux macos saas windows",defense-evasion
"screen capture adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation screen capturing functionality may be included as a feature of a remote access tool used in post compromise operations taking a screenshot is also typically possible through native utilities or api calls, such as <code>copyfromscreen< code>, <code>xwd< code>, or <code>screencaptur linux macos windows",collection
"fileless storage adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses fileless storage can be broadly defined as any format other than a file common examples of non volatile fileless storage in windows systems include the windows registry, event logs, or wmi repository citation: microsoft fileless citation: securelist fileless shared memory directories on linux systems linux windows",defense-evasion
"boot or logon initialization scripts adversaries may use scripts automatically executed at boot or logon initialization to establish persistence citation: mandiant apt29 eye spy email nov 22 citation: anomali rocke march 2019 initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server these scripts can vary based on operating syst esxi linux macos network devices windows",persistence
"boot or logon initialization scripts adversaries may use scripts automatically executed at boot or logon initialization to establish persistence citation: mandiant apt29 eye spy email nov 22 citation: anomali rocke march 2019 initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server these scripts can vary based on operating syst esxi linux macos network devices windows",privilege-escalation
adversary in the middle adversaries may attempt to position themselves between two or more networked devices using an adversary in the middle aitm technique to support follow on behaviors such as network sniffing transmitted data manipulation or replay attacks exploitation for credential access linux macos network devices windows,credential-access
adversary in the middle adversaries may attempt to position themselves between two or more networked devices using an adversary in the middle aitm technique to support follow on behaviors such as network sniffing transmitted data manipulation or replay attacks exploitation for credential access linux macos network devices windows,collection
"system owner user discovery adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system they may do this, for example, by retrieving account usernames or by using os credential dumping the information may be collected in a number of different ways using other discovery te linux macos network devices windows",discovery
"acquire infrastructure adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting a wide variety of infrastructure exists for hosting and orchestrating adversary operations infrastructure solutions include physical or cloud servers, domains, and third party web services citation: trendmicrohideoutslease some infrastructure providers offer free trial periods, enabling infrastructure pre",resource-development
"rundll32 adversaries may abuse rundll32 exe to proxy execution of malicious code using rundll32 exe, vice executing directly i e shared modules may avoid triggering security tools that may not monitor execution of the rundll32 exe process because of allowlists or false positives from normal operations rundll32 exe is commonly associated with executing dll windows",defense-evasion
"container and resource discovery adversaries may attempt to discover containers and other resources that are available within a containers environment other resources may include images, deployments, pods, nodes, and other information such as the status of a cluster these resources can be viewed within web applications such as the kubernetes dashboard or can be queried via the docker and kubernetes apis citation: docker api containers",discovery
"serverless adversaries may purchase and configure serverless cloud infrastructure, such as cloudflare workers, aws lambda functions, or google apps scripts, that can be used during targeting by utilizing serverless infrastructure, adversaries can make it more difficult to attribute infrastructure used during operations back to them once acquired, the serverless runtime environment can be leveraged to eith pre",resource-development
"standard encoding adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect command and control c2 information can be encoded using a standard data encoding system that adheres to existing protocol specifications common data encoding schemes include ascii, unicode, hexadecimal, base64, and mime citation: wikipedia binary to text esxi linux macos windows",command-and-control
"embedded payloads adversaries may embed payloads within other files to conceal malicious content from defenses otherwise seemingly benign files such as scripts and executables may be abused to carry and obfuscate malicious payloads and content in some cases, embedded payloads may also enable adversaries to subvert trust controls by not impacting execution controls su linux macos windows",defense-evasion
"pluggable authentication modules adversaries may modify pluggable authentication modules pam to access user credentials or enable otherwise unwarranted access to accounts pam is a modular system of configuration files, libraries, and executable files which guide authentication for many services the most common authentication module is <code>pam unix so< code>, which retrieves, sets, and verifies account authentication informa linux macos",defense-evasion
"pluggable authentication modules adversaries may modify pluggable authentication modules pam to access user credentials or enable otherwise unwarranted access to accounts pam is a modular system of configuration files, libraries, and executable files which guide authentication for many services the most common authentication module is <code>pam unix so< code>, which retrieves, sets, and verifies account authentication informa linux macos",persistence
"pluggable authentication modules adversaries may modify pluggable authentication modules pam to access user credentials or enable otherwise unwarranted access to accounts pam is a modular system of configuration files, libraries, and executable files which guide authentication for many services the most common authentication module is <code>pam unix so< code>, which retrieves, sets, and verifies account authentication informa linux macos",credential-access
"revert cloud instance an adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence in highly virtualized environments, such as cloud based infrastructure, this may be accomplished by restoring virtual machine vm or data storage snapshots through the cloud management dashboard or cloud apis another variati iaas",defense-evasion
"gather victim host information adversaries may gather information about the victim's hosts that can be used during targeting information about hosts may include a variety of details, including administrative data ex: name, assigned ip, functionality, etc as well as specifics regarding its configuration ex: operating system, language, etc adversaries may gather this information in various ways, such as direct collection pre",reconnaissance
"digital certificates adversaries may search public digital certificate data for information about victims that can be used during targeting digital certificates are issued by a certificate authority ca in order to cryptographically verify the origin of signed content these certificates, such as those used for encrypted web traffic https ssl tls communications , contain information about the registered organizatio pre",reconnaissance
"keylogging adversaries may log user keystrokes to intercept credentials as the user types them keylogging is likely to be used to acquire credentials for new access opportunities when os credential dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successf linux macos network devices windows",collection
"keylogging adversaries may log user keystrokes to intercept credentials as the user types them keylogging is likely to be used to acquire credentials for new access opportunities when os credential dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successf linux macos network devices windows",credential-access
"file path exclusions adversaries may attempt to hide their file based artifacts by writing them to specific folders or file names excluded from antivirus av scanning and other defensive capabilities av and other file based scanners often include exclusions to optimize performance as well as ease installation and legitimate use of applications these exclusions may be contextual e g , scans are only initiated in re linux macos windows",defense-evasion
"linux and mac permissions adversaries may modify file or directory permissions attributes to evade access control lists acls and access protected files citation: hybrid analysis icacls1 june 2018 citation: hybrid analysis icacls2 may 2018 file and directory permissions are commonly managed by acls configured by the file or directory owner, or users with the appropriate permissions file and directory acl implementatio linux macos",defense-evasion
"password guessing adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts without knowledge of the password for an account, an adversary may opt to systematically guess the password using a repetitive or iterative mechanism an adversary may guess login credentials without prior knowledge of system or environment passwords dur containers esxi iaas identity provider linux macos network devices office suite saas windows",credential-access
pubprn adversaries may use pubprn to proxy execution of malicious remote files pubprn vbs is a visual basic script that publishes a printer to active directory domain services the script may be signed by microsoft and is commonly executed through the windows command shell via <code>cscript exe< code> for windows,defense-evasion
"purchase technical data adversaries may purchase technical information about victims that can be used during targeting information about victims may be available for purchase within reputable private sources and databases, such as paid subscriptions to feeds of scan databases or other data aggregation services adversaries may also purchase information from less reputable sources such as dark web or cybercrime blackmark pre",reconnaissance
"os credential dumping adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password credentials can be obtained from os caches, memory, or structures citation: brining mimikatz to unix credentials can then be used to perform lateral movement and access restricted information several of linux macos windows",credential-access
"shared modules adversaries may execute malicious payloads via loading shared modules shared modules are executable files that are loaded into processes to provide access to reusable code, such as specific custom functions or invoking os api functions i e , native api adversaries may use this functionality as a way to execute arbitrary payloads on a victim system linux macos windows",execution
"data from configuration repository adversaries may collect data related to managed devices from configuration repositories configuration repositories are used by management systems in order to configure, manage, and control data on remote systems configuration repositories may also facilitate remote access and administration of devices adversaries may target these repositories in order to collect large quantities of sensitive s network devices",collection
disk structure wipe adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources adversaries may attempt to render the system unable to boot by overwriting critical data located in structures such as the master boot record mbr or partition table c linux macos network devices windows,impact
direct network flood adversaries may attempt to cause a denial of service dos by directly sending a high volume of network traffic to a target this dos attack may also reduce the availability and functionality of the targeted system s and network direct network flood are when one or more systems are used to send a high volume of network packets towards the targete windows iaas linux macos,impact
path interception by path environment variable adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries the path environment variable contains a list of directories user and system that the os searches sequentially through in search of the binary that was called from a script or the command line adversaries can place a malicious program in an earlier entry in the list of directories s linux macos windows,defense-evasion
path interception by path environment variable adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries the path environment variable contains a list of directories user and system that the os searches sequentially through in search of the binary that was called from a script or the command line adversaries can place a malicious program in an earlier entry in the list of directories s linux macos windows,execution
"sharepoint adversaries may leverage the sharepoint repository as a source to mine valuable information sharepoint will often contain useful information for an adversary to learn about the structure and functionality of the internal network and systems for example, the following is a list of example information that may hold potential value to an adversary and may also be found on sharepoint: * policies, p office suite windows",collection
direct volume access adversaries may directly access a volume to bypass file access controls and file system monitoring windows allows programs to have direct access to logical volumes programs with direct access may read and write files directly from the drive by analyzing file system data structures this technique may bypass windows file access controls as well as file system monitoring tools citation: hakobyan network devices windows,defense-evasion
"artificial intelligence adversaries may obtain access to generative artificial intelligence tools, such as large language models llms , to aid various techniques during targeting these tools may be used to inform, bolster, and enable a variety of malicious tasks, including conducting reconnaissance creating basic scripts, assisting social engineering, and even developing payl pre",resource-development
"modify cloud resource hierarchy adversaries may attempt to modify hierarchical structures in infrastructure as a service iaas environments in order to evade defenses iaas environments often group resources into a hierarchy, enabling improved resource management and application of policies to relevant groups hierarchical structures differ among cloud providers for example, in aws environments, multiple accounts can be gro iaas",defense-evasion
"email hiding rules adversaries may use email rules to hide inbound emails in a compromised user's mailbox many email clients allow users to create inbox rules for various email functions, including moving emails to other folders, marking emails as read, or deleting emails rules may be created or modified within email clients or through external features such as the <code>new inboxrule< code> or <code>set inboxrule windows linux macos office suite",defense-evasion
"external defacement an adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users external defacement may ultimately cause users to distrust the systems and to question discredit the system’s integrity externally facing websites are a common victim of defacement; often targete windows iaas linux macos",impact
"encrypted encoded file adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection encrypting and or encoding file content aims to conceal malicious artifacts within a file used in an intrusion many other techniques, such as software packing steganography and emb linux macos windows",defense-evasion
"ip addresses adversaries may gather the victim's ip addresses that can be used during targeting public ip addresses may be allocated to organizations by block, or a range of sequential addresses information about assigned ip addresses may include a variety of details, such as which ip addresses are in use ip addresses may also enable an adversary to derive other details about a victim, such as organizationa pre",reconnaissance
os exhaustion flood adversaries may launch a denial of service dos attack targeting an endpoint's operating system os a system's os is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity these attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resour linux macos windows,impact
"rootkit adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components rootkits are programs that hide the existence of malware by intercepting hooking and modifying operating system api calls that supply system information citation: symantec windows rootkits rootkits or rootkit enabling functionality may reside at the user o linux macos windows",defense-evasion
powershell profile adversaries may gain persistence and elevate privileges by executing malicious content triggered by powershell profiles a powershell profile <code>profile ps1< code> is a script that runs when powershell starts and can be used as a logon script to customize user environments powershell supports windows,privilege-escalation
powershell profile adversaries may gain persistence and elevate privileges by executing malicious content triggered by powershell profiles a powershell profile <code>profile ps1< code> is a script that runs when powershell starts and can be used as a logon script to customize user environments powershell supports windows,persistence
"javascript adversaries may abuse various implementations of javascript for execution javascript js is a platform independent scripting language compiled just in time at runtime commonly associated with scripts in webpages, though js can be executed in runtime environments outside the browser citation: nodejs jscript is the microsoft implementation of the same scripting standard jscript is interprete linux macos windows",execution
"modify or spoof tool ui adversaries may spoof or manipulate security tool user interfaces uis to falsely indicate tools are functioning normally and delay detection and response adversaries may present misleading or falsified security tool interfaces uis that display normal or healthy status indicators, even when underlying security tools have been disabled, degraded, or otherwise tampered with security tools typ linux macos windows",defense-evasion
"dns adversaries may gather information about the victim's dns that can be used during targeting dns information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts dns mx, txt, and spf records may also reveal the use of third party cloud and saas providers, such as office 365, g suite, pre",reconnaissance
"lifecycle triggered deletion adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within cloud storage buckets often allow users to set lifecycle policies to automate the migration, archival, or deletion of objects after a set period of time citation: aws storage lifecycles citation: gcp storage lifecycles citation: azure storage lifecycles if a threat actor has suffici iaas",impact
"audio capture an adversary can leverage a computer's peripheral devices e g , microphones and webcams or applications e g , voice and video call services to capture audio recordings for the purpose of listening into sensitive conversations to gather information citation: eset attor oct 2019 malware or scripts may be used to interact with the devices through an available api provided by the operating syst linux macos windows",collection
"create or modify system process adversaries may create or modify system level processes to repeatedly execute malicious payloads as part of persistence when operating systems boot up, they can start processes that perform background system functions on windows and linux, these system processes are referred to as services citation: technet services on macos, launchd processes known as launch daemon containers linux macos windows",persistence
"create or modify system process adversaries may create or modify system level processes to repeatedly execute malicious payloads as part of persistence when operating systems boot up, they can start processes that perform background system functions on windows and linux, these system processes are referred to as services citation: technet services on macos, launchd processes known as launch daemon containers linux macos windows",privilege-escalation
"external remote services adversaries may leverage external facing remote services to initially access and or persist within a network remote services such as vpns, citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations there are often remote service gateways that manage connections and credential authentication for these services services such as win containers linux macos windows",persistence
"external remote services adversaries may leverage external facing remote services to initially access and or persist within a network remote services such as vpns, citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations there are often remote service gateways that manage connections and credential authentication for these services services such as win containers linux macos windows",initial-access
lc load dylib addition adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries mach o binaries have a series of headers that are used to perform certain operations when a binary is loaded the lc load dylib header in a mach o binary tells macos and os x which dynamic libraries dylibs to load during execution time these can be added ad hoc to the compiled bi macos,privilege-escalation
lc load dylib addition adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries mach o binaries have a series of headers that are used to perform certain operations when a binary is loaded the lc load dylib header in a mach o binary tells macos and os x which dynamic libraries dylibs to load during execution time these can be added ad hoc to the compiled bi macos,persistence
"steal web session cookie an adversary may steal web application or service session cookies and use them to gain access to web applications or internet services as an authenticated user without needing credentials web applications and services often use session cookies as an authentication token after a user has authenticated to a website cookies are often valid for an extended period of time, even if the web applicatio linux macos office suite saas windows",credential-access
"container orchestration job adversaries may abuse task scheduling functionality provided by container orchestration tools such as kubernetes to schedule deployment of containers configured to execute malicious code container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a linux system deployments of this type can also be configured to maintain a quantity of containers ove containers",execution
"container orchestration job adversaries may abuse task scheduling functionality provided by container orchestration tools such as kubernetes to schedule deployment of containers configured to execute malicious code container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a linux system deployments of this type can also be configured to maintain a quantity of containers ove containers",persistence
"container orchestration job adversaries may abuse task scheduling functionality provided by container orchestration tools such as kubernetes to schedule deployment of containers configured to execute malicious code container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a linux system deployments of this type can also be configured to maintain a quantity of containers ove containers",privilege-escalation
"domain generation algorithms adversaries may make use of domain generation algorithms dgas to dynamically identify a destination domain for command and control traffic rather than relying on a list of static ip addresses or domains this has the advantage of making it much harder for defenders to block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can c esxi linux macos windows",command-and-control
"double file extension adversaries may abuse a double extension in the filename as a means of masquerading the true file type a file name may include a secondary file type extension that may cause only the first extension to be displayed ex: <code>file txt exe< code> may render in some views as just <code>file txt< code> however, the second extension is the true file type that determines how the file is opened and e windows",defense-evasion
"bypass user account control adversaries may bypass uac mechanisms to elevate process privileges on system windows user account control uac allows a program to elevate its privileges tracked as integrity levels ranging from low to high to perform a task under administrator level permissions, possibly by prompting the user for confirmation the impact to the user ranges from denying the operation under high enforcement to windows",privilege-escalation
"sms pumping adversaries may leverage messaging services for sms pumping, which may impact system and or hosted service availability citation: twilio sms pumping sms pumping is a type of telecommunications fraud whereby a threat actor first obtains a set of phone numbers from a telecommunications provider, then leverages a victim’s messaging infrastructure to send large amounts of sms messages to numbers in saas",impact
"internet connection discovery adversaries may check for internet connectivity on compromised systems this may be performed during automated discovery and can be accomplished in numerous ways such as using ping <code>tracert< code>, and get requests to websites, or performing initial speed testing to confirm bandwidth adversaries may use the results and responses from these request windows linux macos esxi",discovery
"sudo and sudo caching adversaries may perform sudo caching and or use the sudoers file to elevate privileges adversaries may do this to execute commands as other users or spawn processes with higher privileges within linux and macos systems, sudo sometimes referred to as ""superuser do"" allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the syst linux macos",privilege-escalation
disable or modify windows event log adversaries may disable or modify the windows event log to limit data that can be leveraged for detections and audits windows event log records user and system activity such as login attempts and process creation citation: eventlog core technologies this data is used by security tools and analysts to generate detections the eventlog service maintains event logs from various system components windows,defense-evasion
"query public ai services adversaries may query publicly accessible artificial intelligence ai services, such as large language models llms , to support targeting and operations in addition to searching websites or databases directly i e , search open websites domains adversaries may use ai services to synthesize, aggregate, and analyze publicly available information at s pre",reconnaissance
"archive via custom method an adversary may compress or encrypt data that is collected prior to exfiltration using a custom method adversaries may choose to use custom archival methods, such as encryption with xor or stream ciphers implemented with no external library or utility references custom implementations of well known compression algorithms have also been used citation: eset sednit part 2 linux macos windows",collection
"modify cloud compute infrastructure an adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses a modification to the compute service infrastructure can include the creation, deletion, or modification of one or more components such as compute instances, virtual machines, and snapshots permissions gained from the modification of infrastructure components may bypass restrictions that preven iaas",defense-evasion
"network devices adversaries may compromise third party network devices that can be used during targeting network devices, such as small office home office soho routers, may be compromised where the adversary's ultimate goal is not initial access to that environment, but rather to leverage these devices to support additional targeting once an adversary has control, c pre",resource-development
"malvertising adversaries may purchase online advertisements that can be abused to distribute malware to victims ads can be purchased to plant as well as favorably position artifacts in specific locations online, such as prominently placed within search engine results these ads may make it more difficult for users to distinguish between actual search results and advertisements citation: spamhaus malvertisin pre",resource-development
"permission groups discovery adversaries may attempt to discover group and permission settings this information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions adversaries may attempt to discover group permission settings in many different ways this data may provide the adversary with information containers iaas identity provider linux macos office suite saas windows",discovery
"email collection adversaries may target user email to collect sensitive information emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries emails may also contain details of ongoing incident response operations, which may allow adversaries to adjust their techniques in order to maintain persistence or evade defenses citation: trustedsec oob com windows macos linux office suite",collection
"security account manager adversaries may attempt to extract credential material from the security account manager sam database either through in memory techniques or through the windows registry where the sam database is stored the sam is a database file that contains local accounts for the host, typically those found with the <code>net user< code> command enumerating the sam database requires system level access a windows",credential-access
"whois adversaries may search public whois data for information about victims that can be used during targeting whois data is stored by regional internet registries rir responsible for allocating and assigning internet resources such as domain names anyone can query whois servers for information about a registered domain, such as assigned ip blocks, contact information, and dns nameservers citation: pre",reconnaissance
system firmware adversaries may modify system firmware to persist on systems the bios basic input output system and the unified extensible firmware interface uefi or extensible firmware interface efi are examples of system firmware that operate as the software interface between the operating system and hardware of a computer citation: wikipedia bios citation: wikipedia uefi citation: about uefi system network devices windows,defense-evasion
system firmware adversaries may modify system firmware to persist on systems the bios basic input output system and the unified extensible firmware interface uefi or extensible firmware interface efi are examples of system firmware that operate as the software interface between the operating system and hardware of a computer citation: wikipedia bios citation: wikipedia uefi citation: about uefi system network devices windows,persistence
"search victim owned websites adversaries may search websites owned by the victim for information that can be used during targeting victim owned websites may contain a variety of details, including names of departments divisions, physical locations, and data about key employees such as names, roles, and contact info ex: email addresses these sites may also have details highl pre",reconnaissance
"cloud groups adversaries may attempt to find cloud groups and permission settings the knowledge of cloud permission groups can help adversaries determine the particular roles of users and groups within an environment, as well as which users are associated with a particular group with authenticated access there are several tools that can be used to find permissions groups the <code>get msolrole< code> power saas iaas office suite identity provider",discovery
"services registry permissions weakness adversaries may execute their own malicious payloads by hijacking the registry entries used by services flaws in the permissions for registry keys related to services can allow adversaries to redirect the originally specified executable to one they control, launching their own code when a service starts windows stores local service configuration information in the registry under <code>hklm\syste windows",defense-evasion
"services registry permissions weakness adversaries may execute their own malicious payloads by hijacking the registry entries used by services flaws in the permissions for registry keys related to services can allow adversaries to redirect the originally specified executable to one they control, launching their own code when a service starts windows stores local service configuration information in the registry under <code>hklm\syste windows",execution
"dns passive dns adversaries may search dns data for information about victims that can be used during targeting dns information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts adversaries may search dns data to gather actionable information threat actors can query nameservers for a target or pre",reconnaissance
"application exhaustion flood adversaries may target resource intensive features of applications to cause a denial of service dos , denying availability to those applications for example, specific features in web applications may be highly resource intensive repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself citation: arbor annualdosreport jan windows iaas linux macos",impact
"compromise software dependencies and development tools adversaries may manipulate software dependencies and development tools prior to receipt by a final consumer for the purpose of data or system compromise applications often depend on external software to function properly popular open source projects that are used as dependencies in many applications, such as pip and npm packages, may be targeted as a means to add malicious code to users of the d linux macos windows",initial-access
"digital certificates adversaries may buy and or steal ssl tls certificates that can be used during targeting ssl tls certificates are designed to instill trust they include information about the key, information about its owner's identity, and the digital signature of an entity that has verified the certificate's contents are correct if the signature is valid, and the person examining the certificate trusts the sig pre",resource-development
"dns server adversaries may set up their own domain name system dns servers that can be used during targeting during post compromise activity, adversaries may utilize dns traffic for various tasks, including for command and control ex: application layer protocol instead of hijacking existing dns servers, adversaries may opt to configure and run their own dns pre",resource-development
"disk wipe adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources with direct write access to a disk, adversaries may attempt to overwrite portions of disk data adversaries may opt to wipe arbitrary portions of disk data and or wipe disk structures like the master boot record mbr a complete wipe of all linux macos windows network devices",impact
"dns adversaries may communicate using the domain name system dns application layer protocol to avoid detection network filtering by blending in with existing traffic commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server the dns protocol serves an administrative function in computer networking and thus ma esxi linux macos network devices windows",command-and-control
"cloud instance metadata api adversaries may attempt to access the cloud instance metadata api to collect credentials and other sensitive data most cloud service providers support a cloud instance metadata api which is a service provided to running virtual instances that allows applications to access information about the running virtual instance available information generally includes name, security group, and additional iaas",credential-access
securityd memory an adversary with root access may gather credentials by reading ’s memory is a service daemon responsible for implementing security protocols such as encryption and authorization citation: apple dev securityd a privileged adversary may be able to scan through 's memory to find the correct sequence of keys to decrypt the user’s logon keychain this may provide t linux macos,credential-access
