cve_id,exploit_name,service,port,auth_required,remote,severity,exploitability,label
CVE-2015-6911,Synology Video Station 1.5-0757 - Multiple Vulnerabilities,other,5000,0,1,HIGH,10.0,2
CVE-2015-6912,Synology Video Station 1.5-0757 - Multiple Vulnerabilities,other,5000,0,1,HIGH,10.0,2
CVE-2014-3806,VM Turbo Operations Manager 4.5x - Directory Traversal,http,80,0,1,MEDIUM,10.0,2
CVE-2014-2081,VTLS Virtua InfoStation.cgi - SQL Injection,http,80,0,1,HIGH,10.0,2
CVE-2014-3976,A10 Networks ACOS 2.7.0-P2 (Build 53) - Buffer Overflow (PoC),http,80,0,1,MEDIUM,10.0,2
CVE-2000-0470,Allegro RomPager 2.10 - URL Request Denial of Service,http,80,0,1,HIGH,10.0,2
CVE-2018-10594,Delta Industrial Automation COMMGR 1.08 - Stack Buffer Overflow (PoC),http,80,0,1,CRITICAL,3.9,2
CVE-2013-0229,INFOMARK IMW-C920W MiniUPnPd 1.0 - Denial of Service,other,1900,0,1,HIGH,10.0,2
CVE-2013-0230,INFOMARK IMW-C920W MiniUPnPd 1.0 - Denial of Service,other,1900,0,1,HIGH,10.0,2
CVE-2013-4890,Samsung PS50C7700 TV - Denial of Service,other,5600,0,1,HIGH,10.0,2
CVE-2015-5374,Siemens SIPROTEC 4 and SIPROTEC Compact EN100 Ethernet Module < 4.25 - Denial of Service,other,50000,0,1,HIGH,10.0,2
CVE-2019-6973,Sricam gSOAP 2.8 - Denial of Service,other,5000,0,1,HIGH,3.9,2
CVE-2018-15172,TP-Link WR840N 0.9.1 3.16 - Denial of Service (PoC),http,80,0,1,HIGH,3.9,2
CVE-2013-1606,Ubiquiti airCam RTSP Service 1.1.5 - Buffer Overflow (PoC),other,554,0,1,HIGH,10.0,2
CVE-2015-2857,Accellion FTA - getStatus verify_oauth_token Command Execution (Metasploit),https,443,0,1,CRITICAL,3.9,2
CVE-2014-9583,ASUS infosvr - Authentication Bypass Command Execution (Metasploit),other,9999,0,1,HIGH,10.0,2
CVE-2013-6343,ASUS RT-N56U - Remote Buffer Overflow (ROP),http,80,0,1,HIGH,10.0,2
CVE-2018-5999,AsusWRT LAN - Remote Code Execution (Metasploit),other,9999,0,1,CRITICAL,3.9,2
CVE-2018-6000,AsusWRT LAN - Remote Code Execution (Metasploit),other,9999,0,1,CRITICAL,3.9,2
CVE-2014-1635,Belkin N750 - 'jump?login' Remote Buffer Overflow,http-alt,8080,0,1,HIGH,10.0,2
CVE-2016-6366,Cisco ASA 8.x - 'EXTRABACON' Authentication Bypass,other,161,1,1,HIGH,2.8,1
CVE-2017-3881,Cisco Catalyst 2960 IOS 12.2(55)SE1 - 'ROCEM' Remote Code Execution,telnet,23,0,1,CRITICAL,3.9,1
CVE-2017-3881,Cisco Catalyst 2960 IOS 12.2(55)SE11 - 'ROCEM' Remote Code Execution,telnet,23,0,1,CRITICAL,3.9,1
CVE-2003-0647,Cisco IOS 12.x/11.x - HTTP Remote Integer Overflow,http,80,0,1,HIGH,10.0,2
CVE-2014-0683,Cisco RV110W - Password Disclosure / Command Execution,https,443,0,1,HIGH,10.0,2
CVE-2015-6396,Cisco RV110W - Password Disclosure / Command Execution,https,443,1,0,HIGH,1.8,2
CVE-2019-1663,Cisco RV110W/RV130(W)/RV215W Routers Management Interface - Remote Command Execution (Metasploit),https,443,0,1,CRITICAL,3.9,2
CVE-2014-6278,Cisco UCS Manager 2.1(1b) - Remote Command Injection (Shellshock),https,443,0,1,HIGH,2.8,1
CVE-2014-3936,D-Link HNAP - Request Remote Buffer Overflow (Metasploit),http,80,0,1,HIGH,10.0,2
CVE-2014-2927,F5 Big-IP - rsync Access,ssh,22,0,1,HIGH,8.6,2
CVE-2014-3220,F5 BIG-IQ 4.1.0.2013.0 - Privilege Escalation (Metasploit),https,443,1,1,HIGH,8.0,2
CVE-2015-3628,F5 iControl - 'iCall::Script' Root Command Execution (Metasploit),https,443,1,1,HIGH,8.0,2
CVE-2005-3757,Google Search Appliance - proxystylesheet XSLT Java Code Execution (Metasploit),http,80,0,1,HIGH,10.0,2
CVE-2009-2684,HP LaserJet Printers - Multiple Persistent Cross-Site Scripting Vulnerabilities,http,80,0,1,MEDIUM,8.6,2
CVE-2009-2684,HP Multiple LaserJet Printer - Cross-Site Scripting,http,80,0,1,MEDIUM,8.6,2
CVE-2017-2741,HP PageWide Printers / HP OfficeJet Pro Printers (OfficeJet Pro 8210) - Arbitrary Code Execution,other,9100,0,1,CRITICAL,3.9,2
CVE-2018-10123,Inteno IOPSYS 2.0 < 4.2.0 - 'p910nd' Remote Command Execution,other,9100,1,1,HIGH,2.8,2
CVE-2007-0883,IP3 NetAccess < 4.1.9.6 - Arbitrary File Disclosure,http,80,0,1,MEDIUM,10.0,2
CVE-2018-17173,LG Supersign EZ CMS - Remote Code Execution (Metasploit),other,9080,0,1,CRITICAL,3.9,2
CVE-2016-1555,Netgear Devices - (Unauthenticated) Remote Command Execution (Metasploit),http,80,0,1,CRITICAL,3.9,1
CVE-2013-2751,Netgear ReadyNAS - Perl Code Evaluation (Metasploit),https,443,0,1,HIGH,10.0,2
CVE-2016-10174,Netgear WNR2000v5 - 'hidden_lang_avi' Remote Stack Overflow (Metasploit),http,80,0,1,CRITICAL,3.9,1
CVE-2014-6271,QNAP - Admin Shell via Bash Environment Variable Code Injection (Metasploit),other,9993,0,1,CRITICAL,3.9,1
CVE-2014-7169,QNAP - Admin Shell via Bash Environment Variable Code Injection (Metasploit),other,9993,0,1,CRITICAL,3.9,1
CVE-2014-7910,QNAP - Admin Shell via Bash Environment Variable Code Injection (Metasploit),other,9993,0,1,HIGH,10.0,2
CVE-2009-3710,Riorey RIOS 4.7.0 - Hard-Coded Password,other,8022,0,1,HIGH,10.0,2
CVE-2014-0659,SerComm Device - Remote Code Execution (Metasploit),other,32764,0,1,HIGH,10.0,2
CVE-2013-3623,Supermicro Onboard IPMI - 'close_window.cgi' Remote Buffer Overflow (Metasploit),http,80,0,1,HIGH,10.0,2
CVE-2005-0494,Thomson TCW690 - POST Password Validation,http,80,0,1,HIGH,10.0,2
CVE-2019-6989,TP-LINK TL-WR940N / TL-WR941ND - Buffer Overflow,http,80,1,1,HIGH,2.8,2
CVE-2013-6021,Watchguard Firewall XTM 11.7.4u1 - Remote Buffer Overflow,http-alt,8080,0,1,HIGH,8.6,2
CVE-2017-8221,Wireless IP Camera (P2P) WIFICAM - Remote Code Execution,http,80,0,1,HIGH,3.9,2
CVE-2017-8222,Wireless IP Camera (P2P) WIFICAM - Remote Code Execution,http,80,0,1,HIGH,3.9,2
CVE-2017-8223,Wireless IP Camera (P2P) WIFICAM - Remote Code Execution,http,80,0,1,HIGH,3.9,2
CVE-2017-8224,Wireless IP Camera (P2P) WIFICAM - Remote Code Execution,http,80,0,1,CRITICAL,3.9,2
CVE-2017-8225,Wireless IP Camera (P2P) WIFICAM - Remote Code Execution,http,80,0,1,CRITICAL,3.9,2
CVE-2018-13109,ADB Broadband Gateways / Routers - Authorization Bypass,http,80,0,1,HIGH,3.9,2
CVE-2018-11510,ADM 3.1.2RHG1 - Remote Code Execution,https,443,0,1,CRITICAL,3.9,2
CVE-2015-2279,AirLive (Multiple Products) - OS Command Injection,http-alt,8080,0,1,CRITICAL,3.9,2
CVE-2019-6967,AirTies Air5341 Modem 1.0.0.12 - Cross-Site Request Forgery,http,80,0,1,HIGH,2.8,2
CVE-2018-17587,Airties AIR5342 1.0.0.18 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-17588,Airties AIR5342 1.0.0.18 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-17590,Airties AIR5342 1.0.0.18 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-17591,Airties AIR5342 1.0.0.18 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-17593,Airties AIR5342 1.0.0.18 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2015-2805,Alcatel-Lucent OmniSwitch - Cross-Site Request Forgery,http,80,0,1,MEDIUM,8.6,2
CVE-2014-1982,Allied Telesis AT-RG634A ADSL Broadband Router - Web Shell,http,80,0,1,HIGH,10.0,2
CVE-2014-8423,Arris VAP2500 - Authentication Bypass,http,80,0,1,HIGH,10.0,2
CVE-2014-8424,Arris VAP2500 - Authentication Bypass,http,80,0,1,HIGH,10.0,2
CVE-2014-8425,Arris VAP2500 - Authentication Bypass,http,80,0,1,HIGH,10.0,2
CVE-2015-8256,Axis Network Cameras - Multiple Vulnerabilities,http,80,0,1,MEDIUM,2.8,2
CVE-2014-3792,Beetel 450TC2 Router - Cross-Site Request Forgery (Admin Password),http,80,0,1,MEDIUM,8.6,2
CVE-2014-2046,Broadcom PIPA C211 - Sensitive Information Disclosure,http,80,0,1,HIGH,10.0,2
CVE-2018-0296,Cisco Adaptive Security Appliance - Path Traversal (Metasploit),https,443,0,1,HIGH,3.9,1
CVE-2019-1642,Cisco Firepower Management Center 6.2.2.2 / 6.2.3 - Cross-Site Scripting,https,443,0,1,MEDIUM,2.8,2
CVE-2013-7204,Conceptronic Wireless Pan & Tilt Network Camera - Cross-Site Request Forgery,http,80,0,1,MEDIUM,8.6,2
CVE-2019-6441,Coship Wireless Router 4.0.0.48 / 4.0.0.40 / 5.0.0.54 / 5.0.0.55 / 10.0.0.49 - Unauthenticated Admin Password Reset,http,80,0,1,CRITICAL,3.9,2
CVE-2019-11017,D-Link DI-524 V2.06RU - Multiple Cross-Site Scripting,http,80,1,1,MEDIUM,1.7,2
CVE-2013-7051,D-Link DIR-100 - Multiple Vulnerabilities,http,80,0,1,HIGH,2.8,2
CVE-2013-7052,D-Link DIR-100 - Multiple Vulnerabilities,http,80,0,1,CRITICAL,3.9,2
CVE-2013-7053,D-Link DIR-100 - Multiple Vulnerabilities,http,80,0,1,HIGH,2.8,2
CVE-2013-7054,D-Link DIR-100 - Multiple Vulnerabilities,http,80,0,1,MEDIUM,2.8,2
CVE-2013-7055,D-Link DIR-100 - Multiple Vulnerabilities,http,80,0,1,CRITICAL,3.9,2
CVE-2019-13101,D-Link DIR-600M - Authentication Bypass (Metasploit),http,80,0,1,CRITICAL,3.9,2
CVE-2013-3612,Dahua DVR 2.608.0000.0/2.608.GV00.0 - Authentication Bypass (Metasploit),other,37777,0,1,HIGH,10.0,2
CVE-2013-3613,Dahua DVR 2.608.0000.0/2.608.GV00.0 - Authentication Bypass (Metasploit),other,37777,0,1,HIGH,10.0,2
CVE-2013-3614,Dahua DVR 2.608.0000.0/2.608.GV00.0 - Authentication Bypass (Metasploit),other,37777,0,1,HIGH,8.6,2
CVE-2013-3615,Dahua DVR 2.608.0000.0/2.608.GV00.0 - Authentication Bypass (Metasploit),other,37777,0,1,HIGH,10.0,2
CVE-2013-6117,Dahua DVR 2.608.0000.0/2.608.GV00.0 - Authentication Bypass (Metasploit),other,37777,0,1,HIGH,10.0,2
CVE-2019-10677,DASAN Zhone ZNID GPON 2426A EU - Multiple Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2014-8272,Dell iDRAC IPMI 1.5 - Insufficient Session ID Randomness,other,623,0,1,MEDIUM,10.0,2
CVE-2018-12705,DIGISOL DG-BR4000NG - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-13032,Ecessa ShieldLink SL175EHQ < 10.7.4 - Cross-Site Request Forgery (Add Superuser),https,443,0,1,HIGH,2.8,2
CVE-2019-9556,Fiberhome AN5506-04-F RP2669 - Persistent Cross-Site Scripting,http,80,1,1,MEDIUM,2.3,2
CVE-2018-13374,Fortinet FortiGate FortiOS < 6.0.3 - LDAP Credential Disclosure,https,443,1,1,MEDIUM,2.8,1
CVE-2013-2574,FOSCAM IP-Cameras - Improper Access Restrictions,http,80,0,1,HIGH,3.9,2
CVE-2013-7247,Franklin Fueling TS-550 evo 2.0.0.6833 - Multiple Vulnerabilities,other,10001,0,1,MEDIUM,10.0,2
CVE-2013-7248,Franklin Fueling TS-550 evo 2.0.0.6833 - Multiple Vulnerabilities,other,10001,0,1,HIGH,10.0,2
CVE-2019-6272,GL-AR300M-Lite 2.27 - (Authenticated) Command Injection / Arbitrary File Download / Directory Traversal,http,80,1,1,HIGH,2.8,2
CVE-2019-6273,GL-AR300M-Lite 2.27 - (Authenticated) Command Injection / Arbitrary File Download / Directory Traversal,http,80,1,1,MEDIUM,2.8,2
CVE-2019-6274,GL-AR300M-Lite 2.27 - (Authenticated) Command Injection / Arbitrary File Download / Directory Traversal,http,80,1,1,HIGH,2.8,2
CVE-2019-6275,GL-AR300M-Lite 2.27 - (Authenticated) Command Injection / Arbitrary File Download / Directory Traversal,http,80,1,1,HIGH,2.8,2
CVE-2018-7921,Huawei B315s-22 - Information Leak,http,80,0,0,MEDIUM,2.8,2
CVE-2017-17215,Huawei Router HG532 - Arbitrary Command Execution,other,37215,1,1,HIGH,2.8,2
CVE-2019-19516,Intelbras Router RF1200 1.1.3 - Cross-Site Request Forgery,http,80,0,1,MEDIUM,2.8,2
CVE-2018-16288,LG SuperSign EZ CMS 2.5 - Local File Inclusion,other,9080,0,1,HIGH,3.9,2
CVE-2018-17173,LG SuperSign EZ CMS 2.5 - Remote Code Execution,other,9080,0,1,CRITICAL,3.9,2
CVE-2015-0554,Pirelli ADSL2/2+ Wireless Router P.DGA4001N - Information Disclosure,http,80,0,1,HIGH,10.0,2
CVE-2019-6282,PLC Wireless Router GPN2.4P21-C-CN - Cross-Site Request Forgery,http,80,0,1,HIGH,2.8,2
CVE-2019-6279,PLC Wireless Router GPN2.4P21-C-CN - Incorrect Access Control,http,80,0,1,HIGH,2.8,2
CVE-2018-0706,QNAP Qcenter Virtual Appliance - Multiple Vulnerabilities,https,443,1,1,HIGH,2.8,2
CVE-2018-0707,QNAP Qcenter Virtual Appliance - Multiple Vulnerabilities,https,443,1,1,HIGH,1.2,2
CVE-2018-0708,QNAP Qcenter Virtual Appliance - Multiple Vulnerabilities,https,443,1,1,HIGH,2.8,2
CVE-2018-0709,QNAP Qcenter Virtual Appliance - Multiple Vulnerabilities,https,443,1,1,HIGH,2.8,2
CVE-2018-0710,QNAP Qcenter Virtual Appliance - Multiple Vulnerabilities,https,443,1,1,HIGH,2.8,2
CVE-2019-7385,Raisecom XPON ISCOMHT803G-U_2.0.0_140521_R4.1.47.002 - Remote Code Execution,http,80,1,0,HIGH,1.8,2
CVE-2018-15884,RICOH MP C4504ex Printer - Cross-Site Request Forgery (Add Admin),http,80,0,1,HIGH,2.8,2
CVE-2018-19616,Rockwell Automation Allen-Bradley PowerMonitor 1000 - Incorrect Access Control Authentication Bypass,http,80,0,1,HIGH,2.2,2
CVE-2013-5030,Ruckus Wireless Zoneflex 2942 Wireless Access Point - Authentication Bypass,http,80,0,0,HIGH,3.9,2
CVE-2013-5037,Sagemcom F@st 3184 2.1.11 - Multiple Vulnerabilities,http,80,0,0,LOW,6.5,3
CVE-2013-5038,Sagemcom F@st 3184 2.1.11 - Multiple Vulnerabilities,http,80,0,0,MEDIUM,6.5,2
CVE-2013-5039,Sagemcom F@st 3184 2.1.11 - Multiple Vulnerabilities,http,80,0,0,MEDIUM,5.5,2
CVE-2013-5218,Sagemcom F@st 3184 2.1.11 - Multiple Vulnerabilities,http,80,0,0,LOW,5.5,3
CVE-2013-5219,Sagemcom F@st 3184 2.1.11 - Multiple Vulnerabilities,http,80,0,0,LOW,6.5,3
CVE-2013-5220,Sagemcom F@st 3184 2.1.11 - Multiple Vulnerabilities,http,80,0,0,MEDIUM,6.5,2
CVE-2013-3585,Samsung DVR Firmware 1.10 - Authentication Bypass,http,80,0,1,MEDIUM,10.0,2
CVE-2013-3586,Samsung DVR Firmware 1.10 - Authentication Bypass,http,80,0,1,HIGH,4.9,2
CVE-2017-6026,Schneider Electric PLC - Session Calculation Authentication Bypass,http,80,0,1,CRITICAL,3.9,2
CVE-2014-8687,Seagate Business NAS 2014.00319 - Remote Code Execution,http,80,0,1,CRITICAL,3.9,2
CVE-2019-13529,SMA Solar Technology AG Sunny WebBox device - 1.6 - Cross-Site Request Forgery,http,80,0,1,HIGH,2.8,2
CVE-2014-9142,Technicolor DT5130 2.05.C29GV - Multiple Vulnerabilities,http,80,0,1,MEDIUM,8.6,2
CVE-2014-9143,Technicolor DT5130 2.05.C29GV - Multiple Vulnerabilities,http,80,0,1,MEDIUM,8.6,2
CVE-2014-9144,Technicolor DT5130 2.05.C29GV - Multiple Vulnerabilities,http,80,0,1,HIGH,10.0,2
CVE-2014-1677,Technicolor TC7200 - Credentials Disclosure,http,80,0,1,HIGH,3.9,2
CVE-2014-5246,Tenda A5s Router 3.02.05_CN - Authentication Bypass,http,80,0,1,HIGH,10.0,2
CVE-2018-14497,Tenda ADSL Router D152 - Cross-Site Scripting,http,80,1,1,MEDIUM,2.3,2
CVE-2015-5996,Tenda Wireless N150 Router 5.07.50 - Cross-Site Request Forgery (Reboot Router),http,80,0,1,HIGH,2.8,2
CVE-2014-10018,Teracom Modem T2-B-Gawv1.4U10Y-BI - Persistent Cross-Site Scripting,http,80,0,1,MEDIUM,8.6,2
CVE-2019-6971,TP-Link TL-WR1043ND 2 - Authentication Bypass,http,80,0,1,CRITICAL,3.9,2
CVE-2018-13134,TP-Link wireless router Archer C1200 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2018-13859,Trivum Multiroom Setup Tool 8.76 - Corss-Site Request Forgery (Admin Bypass),http,80,0,1,CRITICAL,3.9,2
CVE-2014-2225,Ubiquiti UbiFi / mFi / AirVision - Cross-Site Request Forgery,http,80,0,1,HIGH,2.8,2
CVE-2018-14064,VelotiSmart WiFi B-380 Camera - Directory Traversal,http,80,0,1,CRITICAL,3.9,2
CVE-2014-3138,Xerox DocuShare - SQL Injection,http-alt,8080,1,1,MEDIUM,8.0,2
CVE-2015-7257,ZTE ADSL ZXV10 W300 Modems - Multiple Vulnerabilities,http,80,1,1,HIGH,1.6,2
CVE-2015-7258,ZTE ADSL ZXV10 W300 Modems - Multiple Vulnerabilities,http,80,1,1,HIGH,2.8,2
CVE-2015-7259,ZTE ADSL ZXV10 W300 Modems - Multiple Vulnerabilities,http,80,1,1,HIGH,2.8,2
CVE-2018-7355,ZTE MF65 BD_HDV6MF65V1.0.0B05 - Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2014-8493,ZTE ZXHN H108L - Authentication Bypass (2),http,80,0,1,MEDIUM,10.0,2
CVE-2014-0329,ZTE ZXV10 W300 Router - Hard-Coded Credentials,http,80,0,1,HIGH,8.6,2
CVE-2019-6710,Zyxel NBG-418N v2 Modem 1.00(AAXM.6)C0 - Cross-Site Request Forgery,http,80,0,1,HIGH,2.8,2
CVE-2014-4162,ZYXEL P-660HW-T1 3 Wireless Router - Cross-Site Request Forgery,http,80,0,1,MEDIUM,8.6,2
CVE-2019-7391,Zyxel VMG3312-B10B DSL-491HNU-B1B v2 Modem - Cross-Site Request Forgery,http,80,0,1,HIGH,2.8,2
CVE-2019-9955,Zyxel ZyWall 310 / ZyWall 110 / USG1900 / ATP500 / USG40 - Login Page Cross-Site Scripting,http,80,0,1,MEDIUM,2.8,2
CVE-2005-3277,HP-UX 11.11 - lpd Remote Command Execution (Metasploit),other,515,0,1,HIGH,10.0,2
CVE-2002-1473,HP-UX LPD 10.20/11.00/11.11 - Command Execution (Metasploit),other,515,0,0,MEDIUM,3.9,2
CVE-2001-0800,Irix LPD tagprinter - Command Execution (Metasploit),other,515,0,1,HIGH,10.0,1
CVE-2016-0709,Apache Jetspeed - Arbitrary File Upload (Metasploit),http-alt,8080,1,1,HIGH,1.2,2
CVE-2016-0710,Apache Jetspeed - Arbitrary File Upload (Metasploit),http-alt,8080,1,1,HIGH,2.8,2
CVE-2013-4212,Apache Roller - OGNL Injection (Metasploit),http-alt,8080,0,1,MEDIUM,8.6,2
CVE-2012-0394,Apache Struts - Developer Mode OGNL Execution (Metasploit),http-alt,8080,0,1,MEDIUM,8.6,2
CVE-2019-1619,Cisco Data Center Network Manager - Unauthenticated Remote Code Execution (Metasploit),https,443,0,1,CRITICAL,3.9,2
CVE-2019-1620,Cisco Data Center Network Manager - Unauthenticated Remote Code Execution (Metasploit),https,443,0,1,CRITICAL,3.9,2
CVE-2019-1622,Cisco Data Center Network Manager - Unauthenticated Remote Code Execution (Metasploit),https,443,0,1,MEDIUM,3.9,2
CVE-2015-1427,ElasticSearch - Search Groovy Sandbox Bypass (Metasploit),other,9200,0,1,CRITICAL,3.9,1
CVE-2014-3120,ElasticSearch Dynamic Script - Arbitrary Java Execution (Metasploit),other,9200,1,1,HIGH,2.8,1
CVE-2013-6221,HP AutoPass License Server - Arbitrary File Upload (Metasploit),other,5814,0,1,HIGH,10.0,2
