cve_id,cvss_score,exploit_type,port,priority_label
CVE-2018-17593,6.1,exploitdb,80,medium
CVE-2015-2805,6.8,exploitdb,80,medium
CVE-2014-1982,10.0,exploitdb,80,medium
CVE-2014-8423,10.0,exploitdb,80,medium
CVE-2014-8424,7.8,exploitdb,80,medium
CVE-2014-8425,7.8,exploitdb,80,medium
CVE-2015-8256,6.1,exploitdb,80,medium
CVE-2014-3792,6.8,exploitdb,80,medium
CVE-2014-2046,9.7,exploitdb,80,medium
CVE-2018-0296,7.5,exploitdb,443,high
CVE-2019-1642,6.1,exploitdb,443,medium
CVE-2013-7204,6.8,exploitdb,80,medium
CVE-2019-6441,9.8,exploitdb,80,medium
CVE-2019-11017,4.8,exploitdb,80,medium
CVE-2013-7051,8.8,exploitdb,80,medium
CVE-2013-7052,9.8,exploitdb,80,medium
CVE-2013-7053,8.8,exploitdb,80,medium
CVE-2013-7054,6.1,exploitdb,80,medium
CVE-2013-7055,9.8,exploitdb,80,medium
CVE-2019-13101,9.8,exploitdb,80,medium
CVE-2013-3612,10.0,exploitdb,37777,medium
CVE-2013-3613,7.8,exploitdb,37777,medium
CVE-2013-3614,9.3,exploitdb,37777,medium
CVE-2013-3615,7.8,exploitdb,37777,medium
CVE-2013-6117,7.5,exploitdb,37777,medium
CVE-2019-10677,6.1,exploitdb,80,medium
CVE-2014-8272,5.0,exploitdb,623,medium
CVE-2018-12705,6.1,exploitdb,80,medium
CVE-2018-13032,8.8,exploitdb,443,medium
CVE-2019-9556,5.4,exploitdb,80,medium
CVE-2018-13374,4.3,exploitdb,443,high
CVE-2013-2574,7.5,exploitdb,80,medium
CVE-2013-7247,5.0,exploitdb,10001,medium
CVE-2013-7248,10.0,exploitdb,10001,medium
CVE-2019-6272,8.8,exploitdb,80,medium
CVE-2019-6273,6.5,exploitdb,80,medium
CVE-2019-6274,8.8,exploitdb,80,medium
CVE-2019-6275,8.8,exploitdb,80,medium
CVE-2018-7921,6.5,exploitdb,80,medium
CVE-2017-17215,8.8,exploitdb,37215,medium
CVE-2019-19516,6.5,exploitdb,80,medium
CVE-2018-16288,8.6,exploitdb,9080,medium
CVE-2018-17173,9.8,exploitdb,9080,medium
CVE-2015-0554,9.4,exploitdb,80,medium
CVE-2019-6282,8.8,exploitdb,80,medium
CVE-2019-6279,8.8,exploitdb,80,medium
CVE-2018-0706,8.8,exploitdb,443,medium
CVE-2018-0707,7.2,exploitdb,443,medium
CVE-2018-0708,8.8,exploitdb,443,medium
CVE-2018-0709,8.8,exploitdb,443,medium
CVE-2018-0710,8.8,exploitdb,443,medium
CVE-2019-7385,7.8,exploitdb,80,medium
CVE-2018-15884,8.8,exploitdb,80,medium
CVE-2018-19616,8.1,exploitdb,80,medium
CVE-2013-5030,7.2,exploitdb,80,medium
CVE-2013-5037,3.3,exploitdb,80,low
CVE-2013-5038,5.8,exploitdb,80,medium
CVE-2013-5039,5.4,exploitdb,80,medium
CVE-2013-5218,2.9,exploitdb,80,low
CVE-2013-5219,3.3,exploitdb,80,low
CVE-2013-5220,6.1,exploitdb,80,medium
CVE-2013-3585,5.0,exploitdb,80,medium
CVE-2013-3586,7.6,exploitdb,80,medium
CVE-2017-6026,9.1,exploitdb,80,medium
CVE-2014-8687,9.8,exploitdb,80,medium
CVE-2019-13529,8.8,exploitdb,80,medium
CVE-2014-9142,4.3,exploitdb,80,medium
CVE-2014-9143,4.3,exploitdb,80,medium
CVE-2014-9144,7.5,exploitdb,80,medium
CVE-2014-1677,7.5,exploitdb,80,medium
CVE-2014-5246,10.0,exploitdb,80,medium
CVE-2018-14497,5.4,exploitdb,80,medium
CVE-2015-5996,8.8,exploitdb,80,medium
CVE-2014-10018,4.3,exploitdb,80,medium
CVE-2019-6971,9.8,exploitdb,80,medium
CVE-2018-13134,6.1,exploitdb,80,medium
CVE-2018-13859,9.8,exploitdb,80,medium
CVE-2014-2225,8.8,exploitdb,80,medium
CVE-2018-14064,9.8,exploitdb,80,medium
CVE-2014-3138,6.5,exploitdb,8080,medium
CVE-2015-7257,7.5,exploitdb,80,medium
CVE-2015-7258,8.8,exploitdb,80,medium
CVE-2015-7259,8.8,exploitdb,80,medium
CVE-2018-7355,6.1,exploitdb,80,medium
CVE-2014-8493,5.0,exploitdb,80,medium
CVE-2014-0329,9.3,exploitdb,80,medium
CVE-2019-6710,8.8,exploitdb,80,medium
CVE-2014-4162,6.8,exploitdb,80,medium
CVE-2019-7391,8.8,exploitdb,80,medium
CVE-2019-9955,6.1,exploitdb,80,medium
CVE-2005-3277,10.0,exploitdb,515,medium
CVE-2002-1473,4.6,exploitdb,515,medium
CVE-2001-0800,10.0,metasploit,515,high
CVE-2016-0709,7.2,exploitdb,8080,medium
CVE-2016-0710,8.8,exploitdb,8080,medium
CVE-2013-4212,6.8,exploitdb,8080,medium
CVE-2012-0394,6.8,exploitdb,8080,medium
CVE-2019-1619,9.8,exploitdb,443,medium
CVE-2019-1620,9.8,exploitdb,443,medium
CVE-2019-1622,5.3,exploitdb,443,medium
CVE-2015-1427,9.8,exploitdb,9200,high
CVE-2014-3120,8.1,exploitdb,9200,high
CVE-2013-6221,10.0,exploitdb,5814,medium
CVE-2015-2342,10.0,exploitdb,1617,medium
CVE-2015-8103,9.8,exploitdb,8080,medium
CVE-2014-8741,9.8,exploitdb,9788,medium
CVE-2014-5301,8.8,exploitdb,8080,medium
CVE-2014-6034,5.0,exploitdb,80,medium
CVE-2011-2653,10.0,exploitdb,8080,medium
CVE-2015-0779,10.0,exploitdb,443,medium
CVE-2016-0491,6.4,exploitdb,8088,medium
CVE-2016-0492,6.4,exploitdb,8088,medium
CVE-2014-8516,9.8,exploitdb,8001,medium
CVE-2018-7739,9.8,exploitdb,3000,medium
CVE-2015-1833,6.4,exploitdb,8080,medium
CVE-2015-0516,4.0,exploitdb,58080,medium
CVE-2018-12090,6.1,exploitdb,8080,medium
CVE-2016-1607,7.2,exploitdb,9443,medium
CVE-2016-1608,8.8,exploitdb,9443,medium
CVE-2016-1609,5.4,exploitdb,9443,medium
CVE-2016-1610,7.5,exploitdb,9443,medium
CVE-2016-1611,7.8,exploitdb,9443,medium
CVE-2016-7065,8.8,exploitdb,8080,medium
CVE-2019-6804,6.1,exploitdb,80,medium
CVE-2019-3799,6.5,exploitdb,8888,medium
CVE-2016-2203,7.8,exploitdb,443,medium
CVE-2015-2746,6.5,exploitdb,9447,medium
CVE-2018-18865,8.1,exploitdb,54890,medium
CVE-2010-1871,8.8,exploitdb,8080,high
CVE-2015-8249,9.8,exploitdb,8020,medium
CVE-2012-3152,9.1,exploitdb,80,high
CVE-2012-3153,6.4,exploitdb,80,medium
CVE-2019-10267,8.8,exploitdb,443,medium
CVE-2019-10266,7.5,exploitdb,80,medium
CVE-2015-3897,5.0,exploitdb,8080,medium
CVE-2015-3898,6.1,exploitdb,8080,medium
CVE-2015-4591,6.1,exploitdb,80,medium
CVE-2015-4592,8.8,exploitdb,80,medium
CVE-2015-4593,8.8,exploitdb,80,medium
CVE-2015-4594,9.8,exploitdb,80,medium
CVE-2014-0864,6.8,exploitdb,80,medium
CVE-2014-0865,4.9,exploitdb,80,medium
CVE-2014-0866,4.3,exploitdb,80,medium
CVE-2014-0867,5.8,exploitdb,80,medium
CVE-2014-0868,4.9,exploitdb,80,medium
CVE-2014-0869,4.3,exploitdb,80,medium
CVE-2014-0870,4.3,exploitdb,80,medium
CVE-2014-0871,4.3,exploitdb,80,medium
CVE-2014-0894,3.5,exploitdb,80,low
CVE-2015-6944,6.8,exploitdb,8081,medium
CVE-2015-6945,4.3,exploitdb,8081,medium
CVE-2014-6037,7.5,exploitdb,8400,medium
CVE-2014-6043,6.5,exploitdb,8400,medium
CVE-2015-6493,6.8,exploitdb,80,medium
CVE-2015-6494,3.5,exploitdb,80,low
CVE-2015-7900,4.3,exploitdb,80,medium
CVE-2015-7901,6.5,exploitdb,80,medium
CVE-2015-7902,5.0,exploitdb,80,medium
CVE-2015-7903,6.5,exploitdb,80,medium
CVE-2015-7904,6.5,exploitdb,80,medium
CVE-2014-2586,4.3,exploitdb,80,medium
CVE-2014-2587,6.5,exploitdb,80,medium
CVE-2014-2588,4.0,exploitdb,80,medium
CVE-2018-18775,6.1,exploitdb,80,medium
CVE-2018-18776,6.1,exploitdb,80,medium
CVE-2018-18777,4.3,exploitdb,80,medium
CVE-2014-9000,6.5,exploitdb,8585,medium
CVE-2014-5216,4.3,exploitdb,8443,medium
CVE-2014-9412,4.3,exploitdb,8443,medium
CVE-2015-6973,6.8,exploitdb,80,medium
CVE-2015-6972,4.3,exploitdb,80,medium
CVE-2015-7707,6.5,exploitdb,80,medium
CVE-2016-0491,6.4,exploitdb,8088,medium
CVE-2016-0492,6.4,exploitdb,8088,medium
CVE-2014-8555,5.0,exploitdb,9090,medium
CVE-2014-0999,5.0,exploitdb,80,medium
CVE-2014-8391,4.0,exploitdb,80,medium
CVE-2016-4315,5.7,exploitdb,9443,medium
CVE-2016-4314,4.9,exploitdb,9443,medium
CVE-2016-4316,6.1,exploitdb,9443,medium
CVE-2015-7346,9.8,exploitdb,8080,medium
CVE-2015-7347,4.8,exploitdb,8080,medium
CVE-2014-4927,7.8,exploitdb,80,medium
CVE-2003-0245,5.0,exploitdb,80,medium
CVE-2018-7286,6.5,exploitdb,5061,medium
CVE-2018-7284,7.5,exploitdb,5060,medium
CVE-2009-3586,7.5,exploitdb,80,medium
CVE-2018-1000115,7.5,exploitdb,11211,medium
CVE-2018-1000115,7.5,exploitdb,11211,medium
CVE-2013-5211,5.0,exploitdb,123,medium
CVE-2019-6442,6.5,exploitdb,123,medium
CVE-2019-6443,9.1,exploitdb,123,medium
CVE-2019-6445,6.5,exploitdb,123,medium
CVE-2019-6444,9.1,exploitdb,123,medium
CVE-2015-6908,5.0,exploitdb,389,medium
CVE-2001-0136,5.0,exploitdb,21,medium
CVE-2001-0136,5.0,exploitdb,21,medium
CVE-2017-6542,9.8,exploitdb,22,medium
CVE-2017-8779,7.5,exploitdb,111,medium
CVE-2013-4124,5.0,exploitdb,139,medium
CVE-2013-5745,7.1,exploitdb,5900,medium
CVE-2016-6662,9.8,exploitdb,3306,medium
CVE-2014-3804,10.0,exploitdb,40007,medium
CVE-2014-3804,10.0,exploitdb,40007,medium
CVE-2014-3805,10.0,exploitdb,40007,medium
CVE-2017-12635,9.8,exploitdb,5984,medium
CVE-2017-12636,7.2,exploitdb,5984,medium
CVE-2003-0842,7.5,exploitdb,80,medium
CVE-2016-3081,8.1,exploitdb,8080,medium
CVE-2018-11776,8.1,exploitdb,8080,high
CVE-2007-6258,7.5,exploitdb,80,medium
CVE-2007-0774,7.5,exploitdb,80,medium
CVE-2003-0380,7.5,exploitdb,69,medium
CVE-2018-10660,9.8,exploitdb,80,medium
CVE-2018-10661,9.8,exploitdb,80,medium
CVE-2018-10662,9.8,exploitdb,80,medium
CVE-2014-6271,9.8,exploitdb,80,high
CVE-2014-7169,9.8,exploitdb,80,high
CVE-2014-7910,7.5,exploitdb,80,medium
CVE-2004-1388,7.5,exploitdb,2947,medium
CVE-2004-1388,7.5,exploitdb,2947,medium
CVE-2004-1388,7.5,exploitdb,2947,medium
CVE-2015-0935,7.5,exploitdb,443,medium
CVE-2007-5243,9.3,exploitdb,3050,medium
CVE-2007-5243,9.3,exploitdb,3050,medium
CVE-2007-5243,9.3,exploitdb,3050,medium
CVE-2007-5244,9.3,exploitdb,3050,medium
CVE-2004-2043,5.0,exploitdb,3050,medium
CVE-2015-0936,9.8,exploitdb,22,medium
CVE-2004-1705,5.0,exploitdb,504,medium
CVE-2004-1705,5.0,exploitdb,504,medium
CVE-2004-1192,10.0,exploitdb,504,medium
CVE-2003-1481,5.8,exploitdb,80,medium
CVE-2007-4060,9.0,exploitdb,80,medium
CVE-2006-1236,7.5,exploitdb,13327,medium
CVE-2014-6271,9.8,exploitdb,631,high
CVE-2014-7169,9.8,exploitdb,631,high
CVE-2014-7910,7.5,exploitdb,631,medium
CVE-2006-2502,5.1,exploitdb,110,medium
CVE-2006-2502,5.1,exploitdb,110,medium
CVE-2009-2765,8.3,exploitdb,80,medium
CVE-2007-1465,10.0,exploitdb,53,medium
CVE-2015-1427,9.8,exploitdb,9200,high
CVE-2015-5082,10.0,exploitdb,10443,medium
CVE-2016-1560,9.8,exploitdb,22,medium
CVE-2016-1561,7.5,exploitdb,22,medium
CVE-2015-0235,10.0,exploitdb,25,medium
CVE-2018-6789,9.8,exploitdb,25,high
CVE-2018-6789,9.8,exploitdb,25,high
CVE-2001-1078,10.0,exploitdb,25,medium
CVE-2007-5466,10.0,exploitdb,4501,medium
CVE-2007-5467,10.0,exploitdb,4501,medium
CVE-2007-5466,10.0,exploitdb,143,medium
CVE-2007-5467,10.0,exploitdb,143,medium
CVE-2008-6825,6.8,exploitdb,80,medium
CVE-2013-2121,6.0,exploitdb,443,medium
CVE-2013-4490,6.5,exploitdb,443,medium
CVE-2005-1100,7.5,exploitdb,2525,medium
CVE-2005-2878,7.5,exploitdb,143,medium
CVE-2005-2878,7.5,exploitdb,143,medium
CVE-2005-1523,7.5,exploitdb,143,medium
CVE-2017-17562,8.1,exploitdb,80,high
CVE-2003-0755,10.0,exploitdb,21,medium
CVE-2015-4624,7.5,exploitdb,1471,medium
CVE-2014-4880,7.5,exploitdb,554,medium
CVE-2014-2624,10.0,exploitdb,7426,medium
CVE-2000-0284,7.5,exploitdb,143,medium
CVE-2000-0284,7.5,exploitdb,143,medium
CVE-2005-1255,10.0,exploitdb,143,medium
CVE-2001-0010,10.0,exploitdb,53,medium
CVE-2001-0010,10.0,exploitdb,53,medium
CVE-2001-0010,10.0,exploitdb,53,medium
CVE-2016-9299,9.8,exploitdb,8080,medium
CVE-2013-2143,6.5,exploitdb,443,medium
CVE-2003-0487,7.5,exploitdb,25,medium
CVE-2005-0491,10.0,exploitdb,617,medium
CVE-2003-0686,7.5,exploitdb,23,medium
CVE-2005-3524,10.0,exploitdb,21,medium
CVE-2000-0917,10.0,exploitdb,515,medium
CVE-2000-0917,10.0,exploitdb,515,medium
CVE-2000-0917,10.0,exploitdb,515,medium
CVE-2004-0735,7.5,exploitdb,12203,medium
CVE-2013-0230,10.0,exploitdb,5555,medium
CVE-2003-0437,7.5,exploitdb,80,medium
CVE-2003-1083,10.0,exploitdb,2812,medium
CVE-2004-1898,10.0,exploitdb,2812,medium
CVE-2004-1897,5.0,exploitdb,2812,medium
CVE-2013-3630,4.6,exploitdb,80,medium
CVE-2005-0958,7.5,exploitdb,21,medium
CVE-2003-0780,9.0,exploitdb,3306,medium
CVE-2006-1518,6.5,exploitdb,3306,medium
CVE-2008-0226,7.5,exploitdb,3306,medium
CVE-2013-1362,7.5,exploitdb,5666,medium
CVE-2018-8733,9.8,exploitdb,80,medium
CVE-2018-8734,9.8,exploitdb,80,medium
CVE-2018-8735,8.8,exploitdb,80,medium
CVE-2018-8736,8.8,exploitdb,80,medium
CVE-2005-0101,7.5,exploitdb,119,medium
CVE-2013-2028,7.5,exploitdb,80,medium
CVE-2005-0226,7.5,exploitdb,6667,medium
CVE-2001-0414,10.0,exploitdb,123,medium
CVE-2004-2523,6.5,exploitdb,21,medium
CVE-2004-2523,6.5,exploitdb,21,medium
CVE-2006-6493,5.1,exploitdb,389,medium
CVE-2013-3632,8.8,exploitdb,80,medium
CVE-2018-19276,9.8,exploitdb,8081,medium
CVE-2013-1349,7.5,exploitdb,80,medium
CVE-2020-7247,9.8,exploitdb,25,high
CVE-2016-6210,5.9,exploitdb,22,medium
CVE-2016-10009,7.3,exploitdb,22,medium
CVE-2018-15473,5.3,exploitdb,22,medium
CVE-2016-6210,5.9,exploitdb,22,medium
CVE-2008-0166,7.5,exploitdb,22,medium
CVE-2008-0166,7.5,exploitdb,22,medium
CVE-2008-3280,5.9,exploitdb,22,medium
CVE-2008-0166,7.5,exploitdb,22,medium
CVE-2005-4714,7.5,exploitdb,1589,medium
CVE-2004-1437,7.5,exploitdb,80,medium
CVE-2005-1806,7.5,exploitdb,7144,medium
CVE-2006-1148,7.5,exploitdb,7144,medium
CVE-2000-0967,10.0,exploitdb,80,medium
CVE-2004-0594,5.1,exploitdb,80,medium
CVE-2013-6829,7.5,exploitdb,7443,medium
CVE-2013-6830,7.5,exploitdb,7443,medium
CVE-2013-6831,7.2,exploitdb,7443,medium
CVE-2003-0213,7.5,exploitdb,1723,medium
CVE-2003-0213,7.5,exploitdb,1723,medium
CVE-2003-0213,7.5,exploitdb,1723,medium
CVE-2006-0681,7.5,exploitdb,532,medium
CVE-2003-0831,9.0,exploitdb,21,medium
CVE-2003-0500,10.0,exploitdb,21,medium
CVE-2003-0831,9.0,exploitdb,21,medium
CVE-2006-5815,10.0,exploitdb,21,medium
CVE-2004-1120,10.0,exploitdb,8080,medium
CVE-2005-0523,7.5,exploitdb,8080,medium
CVE-2005-2961,7.5,exploitdb,8080,medium
CVE-2014-6271,9.8,exploitdb,21,high
CVE-2014-7169,9.8,exploitdb,21,high
CVE-2014-7910,7.5,exploitdb,21,medium
CVE-2018-0706,8.8,exploitdb,443,medium
CVE-2018-0707,7.2,exploitdb,443,medium
CVE-2004-2677,7.5,exploitdb,25,medium
CVE-2014-8361,9.8,exploitdb,52869,high
CVE-2013-2068,9.4,exploitdb,443,medium
CVE-2004-0416,10.0,exploitdb,2401,medium
CVE-2004-0393,10.0,exploitdb,7290,medium
CVE-2002-0048,10.0,exploitdb,873,medium
CVE-2002-0048,10.0,exploitdb,873,medium
CVE-2019-5420,9.8,exploitdb,3000,medium
CVE-2005-1099,10.0,exploitdb,2525,medium
CVE-2003-0201,10.0,exploitdb,139,medium
CVE-2003-0085,10.0,exploitdb,139,medium
CVE-2003-0201,10.0,exploitdb,139,medium
CVE-2004-0600,10.0,exploitdb,901,medium
CVE-2003-0161,10.0,exploitdb,25,medium
CVE-2004-1373,7.5,exploitdb,8000,medium
CVE-2007-4566,10.0,exploitdb,389,medium
CVE-2005-0892,10.0,exploitdb,25,medium
CVE-2007-5184,7.5,exploitdb,21,medium
CVE-2005-1246,10.0,exploitdb,164,medium
CVE-2005-3252,7.5,exploitdb,9080,medium
CVE-2013-4983,10.0,exploitdb,443,medium
CVE-2004-0397,7.5,exploitdb,3690,medium
CVE-2005-1110,7.5,exploitdb,81,medium
CVE-2017-11610,8.8,exploitdb,9001,medium
CVE-2014-7285,6.5,exploitdb,443,medium
CVE-2017-8051,9.8,exploitdb,8000,medium
CVE-2017-12478,9.8,exploitdb,443,medium
CVE-2018-6328,9.8,exploitdb,443,medium
CVE-2000-0284,7.5,exploitdb,143,medium
CVE-2004-0608,10.0,exploitdb,7787,medium
CVE-2009-2936,7.5,exploitdb,6082,medium
CVE-2013-4467,6.5,exploitdb,80,medium
CVE-2013-4468,6.5,exploitdb,80,medium
CVE-2013-7382,5.0,exploitdb,80,medium
CVE-2005-2041,5.0,exploitdb,8080,medium
CVE-2014-5073,7.5,exploitdb,80,medium
CVE-2007-2668,6.8,exploitdb,8080,medium
CVE-2003-0339,7.5,exploitdb,8000,medium
CVE-1999-0368,10.0,exploitdb,21,medium
CVE-1999-0368,10.0,exploitdb,21,medium
CVE-2001-0550,7.5,exploitdb,21,medium
CVE-2003-0466,9.8,exploitdb,21,medium
CVE-2003-0466,9.8,exploitdb,21,medium
CVE-2000-0284,7.5,exploitdb,143,medium
CVE-2004-1636,10.0,exploitdb,69,medium
CVE-2005-3081,4.6,exploitdb,21,medium
CVE-2004-1475,5.1,exploitdb,80,medium
CVE-2017-16666,8.8,exploitdb,9876,medium
CVE-2013-3628,8.8,exploitdb,80,medium
CVE-2019-9621,7.5,exploitdb,8443,high
CVE-2019-9670,9.8,exploitdb,8443,high
CVE-2016-0784,6.5,exploitdb,5080,medium
CVE-2015-8257,8.8,exploitdb,80,medium
CVE-2014-5350,5.0,exploitdb,443,medium
CVE-2014-4865,6.8,exploitdb,8090,medium
CVE-2008-1985,4.3,exploitdb,80,medium
CVE-2015-5531,5.0,exploitdb,9200,medium
CVE-2008-6825,6.8,exploitdb,80,medium
CVE-2013-2113,6.0,exploitdb,443,medium
CVE-2009-4827,6.8,exploitdb,80,medium
CVE-2014-9095,7.5,exploitdb,80,medium
CVE-2018-16736,5.4,exploitdb,443,medium
CVE-2016-5840,7.2,exploitdb,443,medium
CVE-2018-10575,9.8,exploitdb,443,medium
CVE-2018-10576,7.8,exploitdb,443,medium
CVE-2018-10577,8.8,exploitdb,443,medium
CVE-2015-6541,8.8,exploitdb,443,medium
CVE-2013-7091,5.0,exploitdb,7071,medium
CVE-2019-20215,9.8,exploitdb,1900,medium
CVE-2020-10882,8.8,exploitdb,20002,medium
CVE-2020-10883,7.8,exploitdb,20002,medium
CVE-2020-10884,8.8,exploitdb,20002,medium
CVE-2001-0797,10.0,exploitdb,23,medium
CVE-2000-0573,10.0,exploitdb,21,medium
CVE-2007-1866,10.0,exploitdb,53,medium
CVE-2017-12477,9.8,exploitdb,1743,medium
CVE-2017-12478,9.8,exploitdb,443,medium
CVE-2004-0493,6.4,exploitdb,80,medium
CVE-2017-17090,7.5,exploitdb,2000,medium
CVE-2018-6317,9.1,exploitdb,3333,medium
CVE-2009-3591,5.0,exploitdb,7902,medium
CVE-2009-3111,5.0,exploitdb,1812,medium
CVE-2016-2776,7.5,exploitdb,53,medium
CVE-2017-7478,7.5,exploitdb,1194,medium
CVE-2002-0741,5.0,exploitdb,31337,medium
CVE-2018-12584,9.8,exploitdb,5061,medium
CVE-2010-2435,5.0,exploitdb,80,medium
CVE-2013-4074,5.0,exploitdb,5247,medium
CVE-2009-3704,5.0,exploitdb,5060,medium
CVE-2017-5637,7.5,exploitdb,2181,medium
CVE-2013-0632,9.8,exploitdb,80,high
CVE-2009-3068,9.3,metasploit,8080,high
CVE-2003-0651,7.5,exploitdb,80,medium
CVE-2014-0094,5.0,exploitdb,8080,medium
